sys_guid,sys_dtcreated,sys_timestamp,sys_recver,id,description,token,source,pack_id,disabled
4dc313555eba426fb6a66289e3a0328a,2025-11-13 17:21:23,2025-11-14 11:02:57,0,calendar-event,Agregar/Actualizar eventos de un calendario,calendar-event,pim/sise/save-event.dkl,pim,0
c816838ca0754bed9fa71621599aafae,2025-11-13 17:21:23,2025-11-14 11:02:57,0,calendar-event-delete,Eliminar evento de un calendario,calendar-event-delete,pim/sise/delete-event.dkl,pim,0
